task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
navi_bench/craigslist/cars_trucks/0,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find Toyota cars with images priced under $15,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_make_model=toyota&hasPic=1&max_price=15000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/1,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Browse Honda Civic cars sold by owners."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_make_model=honda%20civic&purveyor=owner#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/2,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find cars with automatic transmission under $10,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_transmission=1&max_price=10000&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/3,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Search for manual transmission cars priced between $5,000 and $20,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_transmission=2&min_price=5000&max_price=20000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/4,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find electric vehicles with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_fuel_type=4&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/5,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Browse hybrid cars under $25,000 from owners."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_fuel_type=3&max_price=25000&purveyor=owner#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/6,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find diesel trucks with images priced under $30,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_fuel_type=2&auto_bodytype=9&hasPic=1&max_price=30000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/7,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find SUVs with images under $20,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_bodytype=10&hasPic=1&max_price=20000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/8,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Browse pickup trucks sold by owners."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_bodytype=7&purveyor=owner#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/9,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Search for convertibles priced between $10,000 and $40,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_bodytype=2&min_price=10000&max_price=40000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
