task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
navi_bench/craigslist/cars_trucks/0,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find Toyota cars with images priced under $15,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_make_model=toyota&hasPic=1&max_price=15000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/1,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Browse Honda Accord cars sold by owners."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_make_model=honda%20accord&purveyor=owner#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/2,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find cars under $8,000 with images sorted by lowest price."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?max_price=8000&hasPic=1&sort=priceasc#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/3,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Search for Ford vehicles from dealers with photos."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_make_model=ford&purveyor=dealer&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/4,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find cars priced between $5,000 and $12,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?min_price=5000&max_price=12000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,easy,null,0,validation,null
navi_bench/craigslist/cars_trucks/5,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find cars with automatic transmission under $10,000 with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_transmission=1&max_price=10000&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/6,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Search for manual transmission cars priced between $5,000 and $20,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_transmission=2&min_price=5000&max_price=20000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/7,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Browse manual transmission sports cars with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_transmission=2&auto_bodytype=3&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/8,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find electric vehicles with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_fuel_type=4&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/9,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Browse hybrid cars under $25,000 sold by owners."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_fuel_type=3&max_price=25000&purveyor=owner#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/10,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find diesel trucks with images priced under $35,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_fuel_type=2&auto_bodytype=9&hasPic=1&max_price=35000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
